 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 30, 2022 
 ==================================================================

 Disk File Name = carbon_in_carbon01+oxygen02d0.422.srim.dat

 Ion = Carbon       [6] , Mass = 12.011 amu

 Density =  4.2203E-04 g/cm3 = 1.7325E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    027.29   
      O      8    066.67    072.71   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV/micron   
 See bottom of Table for other Stopping units 

 Ion = Carbon       [6] , Mass = 12.011 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 350.00 keV   1.134E-01  3.942E-03    4.06 mm   506.64 um   588.45 um  
 375.00 keV   1.181E-01  3.746E-03    4.26 mm   515.47 um   604.41 um  
 400.00 keV   1.227E-01  3.570E-03    4.46 mm   523.48 um   619.18 um  
 450.00 keV   1.316E-01  3.268E-03    4.84 mm   538.70 um   645.69 um  
 500.00 keV   1.401E-01  3.018E-03    5.19 mm   551.56 um   668.85 um  
 550.00 keV   1.482E-01  2.806E-03    5.52 mm   562.61 um   689.31 um  
 600.00 keV   1.560E-01  2.625E-03    5.84 mm   572.23 um   707.55 um  
 650.00 keV   1.634E-01  2.468E-03    6.14 mm   580.71 um   723.96 um  
 700.00 keV   1.705E-01  2.330E-03    6.43 mm   588.25 um   738.83 um  
 800.00 keV   1.838E-01  2.100E-03    6.98 mm   603.58 um   764.83 um  
 900.00 keV   1.960E-01  1.914E-03    7.50 mm   616.33 um   786.94 um  
   1.00 MeV   2.072E-01  1.761E-03    7.99 mm   627.18 um   806.09 um  
   1.10 MeV   2.174E-01  1.633E-03    8.45 mm   636.60 um   822.93 um  
   1.20 MeV   2.268E-01  1.523E-03    8.89 mm   644.92 um   837.93 um  
   1.30 MeV   2.353E-01  1.428E-03    9.32 mm   652.36 um   851.44 um  
   1.40 MeV   2.431E-01  1.346E-03    9.73 mm   659.10 um   863.72 um  
   1.50 MeV   2.503E-01  1.273E-03   10.13 mm   665.27 um   874.97 um  
   1.60 MeV   2.567E-01  1.208E-03   10.53 mm   670.95 um   885.37 um  
   1.70 MeV   2.626E-01  1.150E-03   10.91 mm   676.24 um   895.03 um  
   1.80 MeV   2.679E-01  1.098E-03   11.28 mm   681.20 um   904.06 um  
   2.00 MeV   2.769E-01  1.007E-03   12.01 mm   694.09 um   920.55 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  2.3696E+01                keV/(ug/cm2) 
  2.3696E+01                MeV/(mg/cm2) 
  2.3696E+04                keV/(mg/cm2) 
  5.7721E+02                 eV/(1E15 atoms/cm2)
  9.1611E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
