 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 30, 2022 
 ==================================================================

 Disk File Name = alpha_in_carbon01+oxygen02d0.422.srim.dat

 Ion = Helium       [2] , Mass = 4.002602 amu

 Density =  4.2203E-04 g/cm3 = 1.7325E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    027.29   
      O      8    066.67    072.71   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV/micron   
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4.002602 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 325.00 keV   6.931E-02  2.192E-04    7.01 mm   567.63 um   750.78 um  
 350.00 keV   7.086E-02  2.064E-04    7.36 mm   574.17 um   763.18 um  
 375.00 keV   7.224E-02  1.951E-04    7.71 mm   580.25 um   774.75 um  
 400.00 keV   7.345E-02  1.851E-04    8.05 mm   585.95 um   785.62 um  
 450.00 keV   7.542E-02  1.680E-04    8.71 mm   600.10 um   805.65 um  
 500.00 keV   7.688E-02  1.541E-04    9.36 mm   613.02 um   823.85 um  
 550.00 keV   7.790E-02  1.424E-04   10.01 mm   625.04 um   840.66 um  
 600.00 keV   7.855E-02  1.325E-04   10.64 mm   636.38 um   856.37 um  
 650.00 keV   7.889E-02  1.240E-04   11.27 mm   647.20 um   871.22 um  
 700.00 keV   7.895E-02  1.165E-04   11.90 mm   657.64 um   885.38 um  
 800.00 keV   7.845E-02  1.042E-04   13.17 mm   689.36 um   912.16 um  
 900.00 keV   7.733E-02  9.441E-05   14.45 mm   719.91 um   937.50 um  
   1.00 MeV   7.579E-02  8.639E-05   15.75 mm   749.90 um   961.94 um  
   1.10 MeV   7.400E-02  7.970E-05   17.08 mm   779.73 um   985.87 um  
   1.20 MeV   7.206E-02  7.404E-05   18.44 mm   809.70 um     1.01 mm  
   1.30 MeV   7.005E-02  6.917E-05   19.85 mm   840.02 um     1.03 mm  
   1.40 MeV   6.804E-02  6.494E-05   21.29 mm   870.82 um     1.06 mm  
   1.50 MeV   6.605E-02  6.123E-05   22.78 mm   902.20 um     1.08 mm  
   1.60 MeV   6.412E-02  5.795E-05   24.31 mm   934.24 um     1.11 mm  
   1.70 MeV   6.226E-02  5.502E-05   25.89 mm   966.99 um     1.13 mm  
   1.80 MeV   6.048E-02  5.239E-05   27.52 mm     1.00 mm     1.16 mm  
   2.00 MeV   5.716E-02  4.786E-05   30.91 mm     1.12 mm     1.21 mm  
   2.25 MeV   5.347E-02  4.324E-05   35.43 mm     1.31 mm     1.28 mm  
   2.50 MeV   5.024E-02  3.948E-05   40.24 mm     1.49 mm     1.35 mm  
   2.75 MeV   4.741E-02  3.636E-05   45.36 mm     1.67 mm     1.43 mm  
   3.00 MeV   4.492E-02  3.372E-05   50.77 mm     1.85 mm     1.51 mm  
   3.25 MeV   4.270E-02  3.146E-05   56.47 mm     2.03 mm     1.60 mm  
   3.50 MeV   4.072E-02  2.949E-05   62.45 mm     2.22 mm     1.69 mm  
   3.75 MeV   3.894E-02  2.777E-05   68.72 mm     2.41 mm     1.79 mm  
   4.00 MeV   3.733E-02  2.625E-05   75.27 mm     2.60 mm     1.89 mm  
   4.50 MeV   3.452E-02  2.369E-05   89.18 mm     3.29 mm     2.11 mm  
   5.00 MeV   3.215E-02  2.160E-05  104.18 mm     3.94 mm     2.35 mm  
   5.50 MeV   3.012E-02  1.987E-05  120.23 mm     4.58 mm     2.61 mm  
   6.00 MeV   2.836E-02  1.841E-05  137.32 mm     5.21 mm     2.88 mm  
   6.50 MeV   2.681E-02  1.716E-05  155.43 mm     5.84 mm     3.17 mm  
   7.00 MeV   2.544E-02  1.607E-05  174.56 mm     6.48 mm     3.48 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  2.3696E+01                keV/(ug/cm2) 
  2.3696E+01                MeV/(mg/cm2) 
  2.3696E+04                keV/(mg/cm2) 
  5.7721E+02                 eV/(1E15 atoms/cm2)
  5.0241E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
