 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> August 09, 2022 
 ==================================================================

 Disk File Name = proton_in_carbon01+oxygen02d0.422.srim.dat

 Ion = Hydrogen     [1] , Mass = 1.008 amu

 Density =  4.2203E-04 g/cm3 = 1.7325E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    027.29   
      O      8    066.67    072.71   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV/micron   
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 1.008 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 325.00 keV   1.883E-02  1.624E-05   13.88 mm   681.19 um   900.72 um  
 350.00 keV   1.806E-02  1.526E-05   15.23 mm   720.62 um   948.12 um  
 375.00 keV   1.736E-02  1.439E-05   16.63 mm   761.10 um   997.44 um  
 400.00 keV   1.672E-02  1.363E-05   18.09 mm   802.58 um     1.05 mm  
 450.00 keV   1.560E-02  1.234E-05   21.17 mm   939.80 um     1.16 mm  
 500.00 keV   1.464E-02  1.128E-05   24.47 mm     1.08 mm     1.27 mm  
 550.00 keV   1.382E-02  1.040E-05   27.97 mm     1.21 mm     1.40 mm  
 600.00 keV   1.309E-02  9.660E-06   31.67 mm     1.35 mm     1.53 mm  
 650.00 keV   1.246E-02  9.021E-06   35.57 mm     1.49 mm     1.66 mm  
 700.00 keV   1.189E-02  8.466E-06   39.66 mm     1.62 mm     1.81 mm  
 800.00 keV   1.092E-02  7.549E-06   48.41 mm     2.10 mm     2.11 mm  
 900.00 keV   1.011E-02  6.821E-06   57.90 mm     2.54 mm     2.44 mm  
   1.00 MeV   9.424E-03  6.228E-06   68.11 mm     2.98 mm     2.79 mm  
   1.10 MeV   8.832E-03  5.735E-06   79.03 mm     3.42 mm     3.17 mm  
   1.20 MeV   8.244E-03  5.318E-06   90.72 mm     3.86 mm     3.57 mm  
   1.30 MeV   7.779E-03  4.961E-06  103.16 mm     4.31 mm     3.99 mm  
   1.40 MeV   7.377E-03  4.652E-06  116.32 mm     4.77 mm     4.44 mm  
   1.50 MeV   7.020E-03  4.380E-06  130.18 mm     5.23 mm     4.90 mm  
   1.60 MeV   6.702E-03  4.141E-06  144.71 mm     5.70 mm     5.39 mm  
   1.70 MeV   6.416E-03  3.927E-06  159.92 mm     6.17 mm     5.90 mm  
   1.80 MeV   6.158E-03  3.736E-06  175.78 mm     6.65 mm     6.43 mm  
   2.00 MeV   5.708E-03  3.407E-06  209.42 mm     8.34 mm     7.55 mm  
   2.25 MeV   5.242E-03  3.072E-06  255.01 mm    10.73 mm     9.06 mm  
   2.50 MeV   4.855E-03  2.800E-06  304.43 mm    13.01 mm    10.68 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  2.3696E+01                keV/(ug/cm2) 
  2.3696E+01                MeV/(mg/cm2) 
  2.3696E+04                keV/(mg/cm2) 
  5.7721E+02                 eV/(1E15 atoms/cm2)
  3.1613E+02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
